figure_id,row_key,column_key,distinct_settlement_records,evidence_ids
F_S22_1,CR-2011,roadmap,3,CR-2011 / BARG-2011-01; CR-2011 / BARG-2011-02; CR-2011 / BARG-2012-01
F_S22_4,CR-2011,power_sharing_or_controlled_inclusion,2,CR-2011 / BARG-2011-01; CR-2011 / BARG-2011-02
F_S22_4,CR-2011,power_distribution_not_explicitly_coded,1,CR-2011 / BARG-2012-01
F_S22_6,CR-2011,elections_referendum_or_roadmap,3,CR-2011 / BARG-2011-01; CR-2011 / BARG-2011-02; CR-2011 / BARG-2012-01
F_S22_6,CR-2011,election_timetable,3,CR-2011 / BARG-2011-01; CR-2011 / BARG-2011-02; CR-2011 / BARG-2012-01
F_S22_6,CR-2011,transition_institution_design,1,CR-2011 / BARG-2011-01
F_S22_6,CR-2011,inclusive_government,1,CR-2011 / BARG-2011-01
F_S22_6,CR-2011,consensus_government,2,CR-2011 / BARG-2011-01; CR-2011 / BARG-2011-02
F_S22_6,CR-2011,political_conduct,1,CR-2011 / BARG-2012-01
F_S22_6,CR-2011,return_to_constitutional_order,1,CR-2011 / BARG-2011-01
F_S22_8,CR-2011,transition_to_new_constitution,3,CR-2011 / BARG-2011-01; CR-2011 / BARG-2011-02; CR-2011 / BARG-2012-01
F_S22_8,CR-2011,roadmap / election exit,3,CR-2011 / BARG-2011-01; CR-2011 / BARG-2011-02; CR-2011 / BARG-2012-01
F_S22_1,CR-2013,signed_or_mediated_agreement,1,CR-2013 / BARG-2014-15-01
F_S22_4,CR-2013,power_distribution_not_explicitly_coded,1,CR-2013 / BARG-2014-15-01
F_S22_1,CR-2018,signed_or_mediated_agreement,1,CR-2018 / BARG-2018-01
F_S22_1,CR-2018,constitutional_court_decision,1,CR-2018 / BARG-2018-01
F_S22_4,CR-2018,power_sharing_or_controlled_inclusion,1,CR-2018 / BARG-2018-01
F_S22_6,CR-2018,elections_referendum_or_roadmap,1,CR-2018 / BARG-2018-01
F_S22_6,CR-2018,election_timetable,1,CR-2018 / BARG-2018-01
F_S22_6,CR-2018,consensus_government,1,CR-2018 / BARG-2018-01
F_S22_6,CR-2018,electoral_framework,1,CR-2018 / BARG-2018-01
F_S22_1,CR-2023,signed_or_mediated_agreement,1,CR-2023 / BARG-2023-01
F_S22_1,CR-2023,roadmap,1,CR-2023 / BARG-2023-01
F_S22_4,CR-2023,power_distribution_not_explicitly_coded,1,CR-2023 / BARG-2023-01
F_S22_6,CR-2023,elections_referendum_or_roadmap,1,CR-2023 / BARG-2023-01
F_S22_6,CR-2023,election_timetable,1,CR-2023 / BARG-2023-01
F_S22_1,CR-2025,constitutional_court_decision,1,CR-2025 / BARG-2025-01
F_S22_4,CR-2025,authority_concentration_or_transfer,1,CR-2025 / BARG-2025-01
F_S22_6,CR-2025,transition_institution_design,1,CR-2025 / BARG-2025-01
F_S22_8,CR-2025,executive precedent,1,CR-2025 / BARG-2025-01
F_S22_1,CR-2025-26,roadmap,2,CR-2025-26 / BARG-2025-04; CR-2025-26 / BARG-2026-01
F_S22_1,CR-2025-26,constitutional_court_decision,1,CR-2025-26 / BARG-2025-02
F_S22_1,CR-2025-26,consultation_process,1,CR-2025-26 / BARG-2025-03
F_S22_4,CR-2025-26,authority_concentration_or_transfer,2,CR-2025-26 / BARG-2025-02; CR-2025-26 / BARG-2026-01
F_S22_4,CR-2025-26,power_distribution_not_explicitly_coded,2,CR-2025-26 / BARG-2025-03; CR-2025-26 / BARG-2025-04
F_S22_6,CR-2025-26,elections_referendum_or_roadmap,2,CR-2025-26 / BARG-2025-04; CR-2025-26 / BARG-2026-01
F_S22_6,CR-2025-26,election_timetable,2,CR-2025-26 / BARG-2025-04; CR-2025-26 / BARG-2026-01
F_S22_6,CR-2025-26,transition_institution_design,1,CR-2025-26 / BARG-2025-02
F_S22_6,CR-2025-26,return_to_constitutional_order,2,CR-2025-26 / BARG-2025-04; CR-2025-26 / BARG-2026-01
F_S22_8,CR-2025-26,transition_to_new_constitution,4,CR-2025-26 / BARG-2025-02; CR-2025-26 / BARG-2025-03; CR-2025-26 / BARG-2025-04; CR-2025-26 / BARG-2026-01
F_S22_8,CR-2025-26,new constitution,4,CR-2025-26 / BARG-2025-02; CR-2025-26 / BARG-2025-03; CR-2025-26 / BARG-2025-04; CR-2025-26 / BARG-2026-01
F_S22_8,CR-2025-26,roadmap / election exit,4,CR-2025-26 / BARG-2025-02; CR-2025-26 / BARG-2025-03; CR-2025-26 / BARG-2025-04; CR-2025-26 / BARG-2026-01
F_S22_8,CR-2025-26,executive precedent,4,CR-2025-26 / BARG-2025-02; CR-2025-26 / BARG-2025-03; CR-2025-26 / BARG-2025-04; CR-2025-26 / BARG-2026-01
F_S22_8,CR-2025-26,refoundation / fifth republic,4,CR-2025-26 / BARG-2025-02; CR-2025-26 / BARG-2025-03; CR-2025-26 / BARG-2025-04; CR-2025-26 / BARG-2026-01
F_S22_2,signed_or_mediated_agreement,power_sharing_or_controlled_inclusion,6,CR-1991 / BARG-1991-01; CR-2001-02 / BARG-2002-01; CR-2001-02 / BARG-2002-02; CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2010-01; CR-2018 / BARG-2018-01
F_S22_2,signed_or_mediated_agreement,authority_concentration_or_transfer,6,CR-1972 / BARG-1972-02; CR-1972 / BARG-1973-01; CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02; CR-1991 / BARG-1991-02; CR-2009-10 / BARG-2009-07
F_S22_2,signed_or_mediated_agreement,power_distribution_not_explicitly_coded,6,CR-1958-60 / BARG-1958-01; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-10; CR-2013 / BARG-2014-15-01; CR-2023 / BARG-2023-01
F_S22_2,roadmap,power_sharing_or_controlled_inclusion,2,CR-2011 / BARG-2011-01; CR-2011 / BARG-2011-02
F_S22_2,roadmap,authority_concentration_or_transfer,1,CR-2025-26 / BARG-2026-01
F_S22_2,roadmap,power_distribution_not_explicitly_coded,3,CR-2011 / BARG-2012-01; CR-2023 / BARG-2023-01; CR-2025-26 / BARG-2025-04
F_S22_2,transition_charter,power_sharing_or_controlled_inclusion,3,CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09
F_S22_2,transition_charter,power_distribution_not_explicitly_coded,1,CR-2009-10 / BARG-2009-03
F_S22_2,constitutional_court_decision,power_sharing_or_controlled_inclusion,1,CR-2018 / BARG-2018-01
F_S22_2,constitutional_court_decision,authority_concentration_or_transfer,2,CR-2025 / BARG-2025-01; CR-2025-26 / BARG-2025-02
F_S22_2,ordinance_or_executive_transfer,authority_concentration_or_transfer,3,CR-1972 / BARG-1972-01; CR-1975 / BARG-1975-01; CR-2009 / BARG-2009-01
F_S22_2,referendum_or_provisional_constitution,authority_concentration_or_transfer,2,CR-1972 / BARG-1972-01; CR-1972 / BARG-1972-02
F_S22_2,consultation_process,power_distribution_not_explicitly_coded,1,CR-2025-26 / BARG-2025-03
F_S22_2,foundational_or_bilateral_settlement,authority_concentration_or_transfer,1,CR-1972 / BARG-1973-01
F_S22_2,foundational_or_bilateral_settlement,power_distribution_not_explicitly_coded,4,CR-1958-60 / BARG-1958-01; CR-1958-60 / BARG-1960-01; CR-1958-60 / BARG-1960-02; CR-2009-10 / BARG-2009-03
F_S22_3_B,state_elite,claimant_or_signatory,14,CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02; CR-1991 / BARG-1991-01; CR-2001-02 / BARG-2002-01; CR-2001-02 / BARG-2002-02; CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10; CR-2013 / BARG-2014-15-01
F_S22_3_B,state_elite,claimant_or_transition_actor,9,CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10; CR-2009-10 / BARG-2010-01; CR-2013 / BARG-2014-15-01
F_S22_3_B,state_elite,coercive_or_transfer_actor,5,CR-1972 / BARG-1972-01; CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02; CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-07
F_S22_3_B,state_elite,recipient_or_transfer_actor,3,CR-1972 / BARG-1972-01; CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02
F_S22_3_B,state_elite,mediator_or_guarantor,6,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09; CR-2018 / BARG-2018-01
F_S22_3_B,state_elite,mediator_observer_or_norm_enforcer,9,CR-1975 / BARG-1975-02; CR-1991 / BARG-1991-01; CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09; CR-2018 / BARG-2018-01
F_S22_3_B,state_elite,constitutional_court_or_formalizer,2,CR-2009 / BARG-2009-01; CR-2018 / BARG-2018-01
F_S22_3_B,state_elite,transition_authority,3,CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2010-01; CR-2018 / BARG-2018-01
F_S22_3_B,state_elite,opposition_actor,2,CR-1991 / BARG-1991-01; CR-2018 / BARG-2018-01
F_S22_3_B,state_elite,participant_or_code_subject,4,CR-1991 / BARG-1991-01; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2010-01; CR-2018 / BARG-2018-01
F_S22_3_B,state_elite,mediator_or_observer,6,CR-2001-02 / BARG-2002-02; CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09
F_S22_3_B,state_elite,moral_or_religious_mediator,2,CR-1991 / BARG-1991-01; CR-2013 / BARG-2014-15-01
F_S22_3_B,state_elite,host_or_mediator,2,CR-2001-02 / BARG-2002-01; CR-2001-02 / BARG-2002-02
F_S22_3_B,state_elite,formal_state_actor,1,CR-2018 / BARG-2018-01
