crisis_id,actor_id,actor_name,office_evidence,bargain_evidence,formal_or_informal_access,outcome_status,source_ids
CR-2009-10,PER_2009_FETISON,Fetison Rakoto Andrianirina,VP_2009_003; Co-President of the Transitional Presidential Council; Co-President / Transitional Vice-Presidential Equivalent; Negotiated transition agreement; 2009-11-06; Addis Ababa Additional Act,Co-president / Presidential Council member,vice_president,Co-President of the Transitional Presidential Council; Co-president / Presidential Council member; Andry Rajoelina / HAT under revised transition framework,ELTSRC_PMVP; SRC_CRS_2009; SRC_BARG_2009_09; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010
CR-2011,PER_039,Jean Omer Beriziky,EOG_022; Prime Minister; Prime Minister / Consensus transitional; Consensus appointment; 2011-11-02; Andry Rajoelina / roadmap consensus,Consensus Prime Minister,prime_minister,Prime Minister; Consensus Prime Minister; Andry Rajoelina / HAT until 2014 elected transition exit,ELTSRC_PMVP; SRC_PEACEMAKER_2011_ROADMAP; SRC_BARG_2011_01; SRC_PEACEMAKER_2011
CR-2013,PER_011,Hery Martial Rajaonarimampianina Rakotoarimanana,HOS_012; President; Constitutional President; Election; 2014-01-25; Universal suffrage,BARG-2014-15-01; FFKM-mediated five-presidents national reconciliation process; domestic church-mediated reconciliation process; incumbent_or_transition_actor,head_of_state,President; Hery Rajaonarimampianina,ELTSRC_HOS; SRC_PEACEMAKER_2011_ROADMAP; SRC_BARG_2014_15_01
CR-2013,PER_040,Kolo Christopher Laurent Roger,EOG_023; Prime Minister; Presidential appointment after parliamentary consultation; 2014-04-16; Hery Rajaonarimampianina,,prime_minister,Prime Minister; Hery Rajaonarimampianina,ELTSRC_PMVP; SRC_PEACEMAKER_2011_ROADMAP
CR-2018,PER_010,Andry Nirina Rajoelina,HOS_014; President; Constitutional President; Election; 2019-01-19; Universal suffrage,,head_of_state,President; Hery Rajaonarimampianina with Christian Ntsay consensus government,ELTSRC_HOS; SRC_HCC_2018_DEC18
CR-2018,PER_012,Rivo Rakotovao,HOS_013; Acting President; Acting Head of State; Constitutional succession; 2018-09-07; Senate presidency under 2010 Constitution,,head_of_state,Acting President; Hery Rajaonarimampianina with Christian Ntsay consensus government,ELTSRC_HOS; SRC_HCC_2018_DEC18
CR-2018,PER_013,Christian Louis Ntsay,EOG_026; Prime Minister; Consensus appointment; 2018-06-04; HCC-backed consensus / President Rajaonarimampianina,BARG-2018-01; HCC-ordered consensus-prime-minister / unity-government arrangement; domestic constitutional compromise with political agreement; consensus_prime_minister; Consensus Prime Minister,prime_minister,Prime Minister; Consensus Prime Minister; Hery Rajaonarimampianina with Christian Ntsay consensus government,ELTSRC_PMVP; SRC_HCC_2018_DEC18; SRC_BARG_2018_01; DISCSRC_2018_AU
CR-2023,COLL_2023_GOVCOL,Gouvernement collégial,"HOS_015; Collective interim exercise of Chief-of-State functions; Collective Acting Executive, not individual Acting President; Constitutional interim arrangement / HCC designation; 2023-09-09; High Constitutional Court",,head_of_state,Collective interim exercise of Chief-of-State functions; Andry Rajoelina,ELTSRC_HOS; SRC_COMMONS_2023
CR-2023,PER_010,Andry Nirina Rajoelina,HOS_017; President; Constitutional President; Election; 2023-12-16; Universal suffrage,,head_of_state,President; Andry Rajoelina,ELTSRC_HOS; SRC_COMMONS_2023; DISCSRC_2023_UKPARL
CR-2023,PER_014,Richard Ravalomanana,HOS_016; Acting President; Acting Head of State; Constitutional succession; 2023-10-27; Senate presidency,,head_of_state,Acting President; Andry Rajoelina,ELTSRC_HOS; SRC_COMMONS_2023
CR-2025,PER_015,Michaël Randrianirina,HOS_018; HOS_019; Military authority exercising functions of Chief of State; President of the Refoundation of the Republic of Madagascar; Transitional / HCC-recognized Head-of-State functions; Transitional Head of State; Military takeover / HCC request; Military takeover + swearing-in; 2025-10-14; 2025-10-17; Military command / HCC recognition,BARG-2025-01; HCC Decision n°10-HCC/D3 on resolution of the 2025 political/institutional crisis; domestic constitutional-crisis settlement; transition_head_or_recipient; Head of State / transitional authority,head_of_state,Military authority exercising functions of Chief of State; President of the Refoundation of the Republic of Madagascar; Head of State / transitional authority; Michaël Randrianirina,ELTSRC_HOS; SRC_HCC_2025_DEC10; SRC_BARG_2025_01; DISCSRC_2025_REUTERS_POWERGRAB; SRC_HCC_2025_10
CR-2025,PER_043,Ruphin Fortunat Dimbisoa Zafisambo,EOG_027; Prime Minister; Crisis appointment; 2025-10-06; Andry Rajoelina; Michael Randrianirina after takeover,,prime_minister,Prime Minister; Michaël Randrianirina,ELTSRC_PMVP; SRC_HCC_2025_DEC10; SRC_HCC_2025_10
CR-2025,PER_044,Herintsalama Andriamasy Rajaonarivelo,EOG_028; Prime Minister; Prime Minister / Refoundation transition; Transitional appointment; 2025-10-20; Michael Randrianirina,,prime_minister,Prime Minister; Michaël Randrianirina,ELTSRC_PMVP; SRC_HCC_2025_DEC10; SRC_HCC_2025_10
CR-2025-26,PER_045,Rajaonarison Mamitiana Jeannot Ruphin,EOG_029; Prime Minister; Prime Minister / Refoundation transition; Transitional appointment; 2026-03-15; Michael Randrianirina,,prime_minister,Prime Minister; Michaël Randrianirina / Refoundation executive,ELTSRC_PMVP; SRC_AFRICANEWS_2026_ROADMAP; SRC_HCC_2025_16; SRC_AMANI_2026_REFOUND
