crisis_id,actor_id,actor_name,primary_entry_route,constitutional_eligibility_assessment,office_evidence,bargain_evidence,resource_profile,military_role,civil_moral_role,support_networks,outcome_status,source_ids
CR-1975,PER_004,Gilles Andriamahazo,military_transfer_gatekeeping_or_direct_rule,ordinary formal constitutional eligibility/access coded,HOS_004; EOG_003B; President of the Military Directory; President of the Military Directory / collective executive authority; Transitional Head of State; Equivalent Head of Government; Military committee succession; Military directory succession; 1975-02-11; National Military Leadership Committee; Military Directory,BARG-1975-02; Military Directorate / Directoire militaire after Ratsimandrava assassination; domestic military crisis arrangement; military_directorate_head,military/security; professional:Army officer; Minister of Defense; Army officer; party/institution:Military; military link; military faction; professional:Military officer,executive_holder_or_backer; coercion_security_and_control_of_armed_force,,,President of the Military Directory; President of the Military Directory / collective executive authority; Didier Ratsiraka,ELTSRC_HOS; SRC_BRITANNICA_RATSIMANDRAVA; ELTSRC_PMVP; SRC_BARG_1975_02; SRC_MJP_1975
CR-1975,PER_005,Didier Ignace Ratsiraka,military_transfer_gatekeeping_or_direct_rule,ordinary formal constitutional eligibility/access coded,HOS_005; EOG_003C; President; President of Supreme Revolutionary Council; Head of State and Government; Constitutional President; Equivalent Head of Government; Revolutionary transition + referendum; Military/revolutionary designation; 1975-06-15; Supreme Revolutionary Council; Military/revolutionary transition,BARG-1975-01; BARG-1975-02; Ramanantsoa-Ratsimandrava executive transfer arrangement; Military Directorate / Directoire militaire after Ratsimandrava assassination; domestic executive-transfer arrangement; domestic military crisis arrangement; claimant_or_signatory,military/security; professional:Naval officer; Foreign Minister; Naval officer / Foreign Minister; party/institution:AREMA; military link; military faction; professional:Military officer / naval officer; Politician,executive_holder_or_backer; coercion_security_and_control_of_armed_force,,,President; President of Supreme Revolutionary Council; Head of State and Government; Didier Ratsiraka,ELTSRC_HOS; SRC_BRITANNICA_RATSIMANDRAVA; ELTSRC_PMVP; SRC_BARG_1975_01; SRC_BARG_1975_02; DISCSRC_1975_MJP; SRC_MJP_1975
CR-1975,PER_023,Joël Rakotomalala,military_transfer_gatekeeping_or_direct_rule,ordinary formal constitutional eligibility/access coded,EOG_004; Prime Minister and Minister of Defense; Prime Minister; Presidential appointment; 1976-01-11; Didier Ratsiraka,,professional:Military officer; Minister of defense; Colonel / military officer; party/institution:AREMA,,,,Prime Minister and Minister of Defense; Didier Ratsiraka,ELTSRC_PMVP; SRC_BRITANNICA_RATSIMANDRAVA; SRC_MJP_1975
CR-1975,PER_024,Justin Rakotoniaina,office_spell_or_constitutional_office,ordinary formal constitutional eligibility/access coded,EOG_005; Prime Minister; Presidential appointment; 1976-08-12; Didier Ratsiraka,,professional:Diplomat; Politician; Diplomat; party/institution:AREMA,,,,Prime Minister; Didier Ratsiraka,ELTSRC_PMVP; SRC_BRITANNICA_RATSIMANDRAVA; SRC_MJP_1975
CR-1989,PER_026,Victor Ramahatra,military_transfer_gatekeeping_or_direct_rule,"office access is legally authorized in coding, but no separate eligibility dispute is coded",EOG_007; Prime Minister; Presidential appointment; 1988-02-12; Didier Ratsiraka,,military/security; professional:Military officer; Politician/adviser; Military officer; party/institution:Military; military link; military faction,executive_holder_or_backer,,,Prime Minister; Didier Ratsiraka,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1991,PER_006,Albert Zafy,office_spell_or_constitutional_office,ordinary formal constitutional eligibility/access coded,HOS_006; President; Constitutional President; Democratic election; 1993-03-27; Universal suffrage,BARG-1991-01; Convention du 31 octobre 1991 / Convention du Panorama; domestic mediated political convention; claimant_or_signatory; Head of transition / Forces Vives authority,professional:Physician / professor; Educator / opposition leader; Physician and professor; party/institution:UNDD / CRN,,Forces Vives and civil society mobilization; FFKM/church actors,,President; Head of transition / Forces Vives authority; Ratsiraka retained formal presidency; transition authority and government redistributed power,ELTSRC_HOS; SRC_MJP_1991_CONVENTION; SRC_BARG_1991_01; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992
CR-1991,PER_027,Guy Willy Razanamasy,office_spell_or_constitutional_office,ordinary formal constitutional eligibility/access coded,EOG_008; EOG_009; Prime Minister; Crisis appointment; Negotiated transition; 1991-08-08; 1991-09-12; Didier Ratsiraka; Didier Ratsiraka / transitional institutions,,professional:Pharmacist; Mayor / politician; Pharmacist and drug manufacturer; party/institution:AREMA,,Forces Vives and civil society mobilization; FFKM/church actors,,Prime Minister; Ratsiraka retained formal presidency; transition authority and government redistributed power,ELTSRC_PMVP; SRC_MJP_1991_CONVENTION; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992
CR-1991,PER_028,Francisque Tsiatosika Ravony,office_spell_or_constitutional_office,ordinary formal constitutional eligibility/access coded,EOG_010; Prime Minister; Parliamentary vote; 1993-08-09; National Assembly vote / President Albert Zafy,,professional:Lawyer; Judge / politician; Lawyer; party/institution:CSDDM,,Forces Vives and civil society mobilization; FFKM/church actors,,Prime Minister; Ratsiraka retained formal presidency; transition authority and government redistributed power,ELTSRC_PMVP; SRC_MJP_1991_CONVENTION; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992
CR-1996,PER_005,Didier Ignace Ratsiraka,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",HOS_008; President; Constitutional President; Election; 1997-02-09; Universal suffrage,,professional:Naval officer; Foreign Minister; Former President; party/institution:AREMA,,,,President; Norbert Ratsirahonana; then Didier Ratsiraka after election,ELTSRC_HOS; SRC_STATE_1996_HR; SRC_WIPO_2007
CR-1996,PER_007,Norbert Lala Ratsirahonana,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",HOS_007; EOG_012; Acting President; Prime Minister; Acting Head of State; Constitutional succession; Presidential appointment / crisis succession; 1996-09-05; 1996-05-28; HCC / interim constitutional process; Albert Zafy / interim constitutional order,,professional:Lawyer / magistrate; Prime Minister; HCC president; Jurist / politician; party/institution:AVI; Politician; President of the High Constitutional Court,,,,Acting President; Prime Minister; Norbert Ratsirahonana; then Didier Ratsiraka after election,ELTSRC_HOS; SRC_STATE_1996_HR; ELTSRC_PMVP; SRC_WIPO_2007
CR-1996,PER_030,Pascal Joseph Rakotomavo,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",EOG_013; Prime Minister; Presidential appointment; 1997-02-21; Didier Ratsiraka,,professional:Economist / finance official; Politician; Minister of Economy and Finance / presidential adviser; party/institution:AREMA,,,,Prime Minister; Norbert Ratsirahonana; then Didier Ratsiraka after election,ELTSRC_PMVP; SRC_STATE_1996_HR; SRC_WIPO_2007
CR-2001-02,PER_008,Marc Ravalomanana,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",HOS_009; President; Constitutional President; Election after disputed crisis; 2002-05-06; Electoral legitimacy / HCC certification,BARG-2002-01; BARG-2002-02; Dakar I Agreement; Dakar II Agreement / Dakar II Settlement Plan; internationally mediated multiparty agreement; claimant_or_signatory,professional:Entrepreneur; Mayor of Antananarivo; Founder/CEO of TIKO; party/institution:TIM,,,,President; Marc Ravalomanana,ELTSRC_HOS; SRC_CRS_2009; SRC_BARG_2002_01; SRC_BARG_2002_02; DISCSRC_2002_IRIN
CR-2001-02,PER_032,Jacques Hugues Sylla,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",EOG_015; Prime Minister; Crisis appointment / later constitutional government; 2002-05-27; Marc Ravalomanana,,professional:Lawyer; Politician; Lawyer / Foreign Minister; party/institution:Independent / TIM later,,,,Prime Minister; Marc Ravalomanana,ELTSRC_PMVP; SRC_CRS_2009
CR-2001-02,PER_033,Jean-Jacques Rasolondraibe,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",EOG_016; Acting Prime Minister / Ratsiraka-aligned Prime Minister; Acting Prime Minister / De facto parallel government; Parallel crisis appointment; 2002-05-31; Didier Ratsiraka,,professional:Politician / administrator; Acting prime minister; Ratsiraka-aligned official; party/institution:AREMA,,,,Acting Prime Minister / Ratsiraka-aligned Prime Minister; Marc Ravalomanana,ELTSRC_PMVP; SRC_CRS_2009
CR-2009,COL_2009_MD,Military Directory: Hippolyte Raharison Ramaroson; Ranto Rabarisoa; Rivo Hanitra Razafindralambo,military_transfer_gatekeeping_or_direct_rule,exceptional or transitional legal authorization coded,EOG_017A; Military Directory exercising executive transfer authority; Equivalent Transitional Executive; Military transfer during crisis; 2009-03-17; Ordonnance n°2009-001 / military directory,,military/security; professional:Military collective; party/institution:Military; military link; military faction,executive_holder_or_backer,,,Military Directory exercising executive transfer authority; Andry Rajoelina / Haute Autorité de la Transition,ELTSRC_PMVP; SRC_CRS_2009; DISCSRC_2009_CRS; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003
CR-2009,PER_009,Hippolyte Raharison Ramaroson,military_transfer_gatekeeping_or_direct_rule,exceptional or transitional legal authorization coded,HOS_010; President of the Military Directory; De facto Interim Head of State; Military transfer; 2009-03-17; Transfer by Ravalomanana resignation note,,military/security; professional:Vice admiral; Foreign Minister later; Vice admiral; party/institution:Military; military link; military faction,executive_holder_or_backer,,,President of the Military Directory; Andry Rajoelina / Haute Autorité de la Transition,ELTSRC_HOS; SRC_CRS_2009; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003
CR-2009,PER_010,Andry Nirina Rajoelina,military_transfer_gatekeeping_or_direct_rule,exceptional or transitional legal authorization coded,HOS_011; President of the High Transitional Authority; Transitional Head of State; Military-backed transition / HCC decision; 2009-03-17; HCC validation,BARG-2009-01; March 2009 military transfer ordinances and HAT institutional arrangement; domestic military-political executive-transfer arrangement; claimant_or_transition_actor,professional:Entrepreneur / media owner; DJ; advertising executive; mayor; Entrepreneur and media owner; party/institution:TGV,coercion_security_and_control_of_armed_force,,,President of the High Transitional Authority; Andry Rajoelina / Haute Autorité de la Transition,ELTSRC_HOS; SRC_CRS_2009; SRC_BARG_2009_01; DISCSRC_2009_CRS; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003
